"","ReviewSource","brand","score","n"
"1","AppStore","abeg",1,47
"2","AppStore","abeg",2,6
"3","AppStore","abeg",3,3
"4","AppStore","abeg",4,9
"5","AppStore","abeg",5,13
"6","AppStore","flutterwave",1,51
"7","AppStore","flutterwave",2,8
"8","AppStore","flutterwave",3,10
"9","AppStore","flutterwave",4,6
"10","AppStore","flutterwave",5,32
"11","Playstore","abeg",1,1048
"12","Playstore","abeg",2,189
"13","Playstore","abeg",3,141
"14","Playstore","abeg",4,146
"15","Playstore","abeg",5,584
"16","Playstore","flutterwave",1,975
"17","Playstore","flutterwave",2,197
"18","Playstore","flutterwave",3,300
"19","Playstore","flutterwave",4,566
"20","Playstore","flutterwave",5,2458
