"","word","sentiment","n","brand","ReviewSource"
"1","problem","negative",6,"abeg","AppStore"
"2","frustrating","negative",4,"abeg","AppStore"
"3","lose","negative",4,"abeg","AppStore"
"4","complain","negative",3,"abeg","AppStore"
"5","scam","negative",3,"abeg","AppStore"
"6","wrong","negative",3,"abeg","AppStore"
"7","apathetic","negative",2,"abeg","AppStore"
"8","bugs","negative",2,"abeg","AppStore"
"9","complaining","negative",2,"abeg","AppStore"
"10","crashing","negative",2,"abeg","AppStore"
"11","invalid","negative",2,"abeg","AppStore"
"12","slow","negative",2,"abeg","AppStore"
"13","unable","negative",2,"abeg","AppStore"
"14","safe","positive",3,"abeg","AppStore"
"15","easy","positive",2,"abeg","AppStore"
"16","enjoy","positive",2,"abeg","AppStore"
"17","fast","positive",2,"abeg","AppStore"
"18","refund","positive",2,"abeg","AppStore"
"19","works","positive",2,"abeg","AppStore"
"20","best","positive",1,"abeg","AppStore"
"21","kindly","positive",1,"abeg","AppStore"
"22","kudos","positive",1,"abeg","AppStore"
"23","rectify","positive",1,"abeg","AppStore"
"24","right","positive",1,"abeg","AppStore"
"25","silent","positive",1,"abeg","AppStore"
"26","work","positive",1,"abeg","AppStore"
"27","scam","negative",8,"flutterwave","AppStore"
"28","unable","negative",5,"flutterwave","AppStore"
"29","problem","negative",4,"flutterwave","AppStore"
"30","stuck","negative",4,"flutterwave","AppStore"
"31","worst","negative",4,"flutterwave","AppStore"
"32","bad","negative",3,"flutterwave","AppStore"
"33","frustrating","negative",3,"flutterwave","AppStore"
"34","waste","negative",3,"flutterwave","AppStore"
"35","wrong","negative",3,"flutterwave","AppStore"
"36","confusing","negative",2,"flutterwave","AppStore"
"37","disapointed","negative",2,"flutterwave","AppStore"
"38","hard","negative",2,"flutterwave","AppStore"
"39","limit","negative",2,"flutterwave","AppStore"
"40","losing","negative",2,"flutterwave","AppStore"
"41","sad","negative",2,"flutterwave","AppStore"
"42","slow","negative",2,"flutterwave","AppStore"
"43","work","positive",12,"flutterwave","AppStore"
"44","like","positive",10,"flutterwave","AppStore"
"45","works","positive",9,"flutterwave","AppStore"
"46","easy","positive",8,"flutterwave","AppStore"
"47","love","positive",7,"flutterwave","AppStore"
"48","great","positive",5,"flutterwave","AppStore"
"49","best","positive",4,"flutterwave","AppStore"
"50","easier","positive",4,"flutterwave","AppStore"
"51","recomend","positive",4,"flutterwave","AppStore"
"52","cheaper","positive",3,"flutterwave","AppStore"
"53","luck","positive",3,"flutterwave","AppStore"
"54","nice","positive",3,"flutterwave","AppStore"
"55","thank","positive",3,"flutterwave","AppStore"
"56","problem","negative",64,"abeg","Playstore"
"57","unable","negative",57,"abeg","Playstore"
"58","bad","negative",55,"abeg","Playstore"
"59","wrong","negative",55,"abeg","Playstore"
"60","scam","negative",43,"abeg","Playstore"
"61","restricted","negative",42,"abeg","Playstore"
"62","frustrating","negative",33,"abeg","Playstore"
"63","invalid","negative",28,"abeg","Playstore"
"64","lost","negative",27,"abeg","Playstore"
"65","worst","negative",24,"abeg","Playstore"
"66","love","positive",102,"abeg","Playstore"
"67","like","positive",96,"abeg","Playstore"
"68","great","positive",95,"abeg","Playstore"
"69","nice","positive",95,"abeg","Playstore"
"70","work","positive",93,"abeg","Playstore"
"71","best","positive",44,"abeg","Playstore"
"72","easy","positive",44,"abeg","Playstore"
"73","awesome","positive",31,"abeg","Playstore"
"74","works","positive",30,"abeg","Playstore"
"75","fast","positive",29,"abeg","Playstore"
"76","thank","positive",29,"abeg","Playstore"
"77","problem","negative",82,"flutterwave","Playstore"
"78","bad","negative",79,"flutterwave","Playstore"
"79","scam","negative",62,"flutterwave","Playstore"
"80","unable","negative",57,"flutterwave","Playstore"
"81","invalid","negative",50,"flutterwave","Playstore"
"82","frustrating","negative",48,"flutterwave","Playstore"
"83","limit","negative",43,"flutterwave","Playstore"
"84","failed","negative",42,"flutterwave","Playstore"
"85","worst","negative",41,"flutterwave","Playstore"
"86","slow","negative",32,"flutterwave","Playstore"
"87","great","positive",523,"flutterwave","Playstore"
"88","easy","positive",299,"flutterwave","Playstore"
"89","nice","positive",278,"flutterwave","Playstore"
"90","best","positive",264,"flutterwave","Playstore"
"91","love","positive",261,"flutterwave","Playstore"
"92","awesome","positive",208,"flutterwave","Playstore"
"93","fast","positive",177,"flutterwave","Playstore"
"94","like","positive",158,"flutterwave","Playstore"
"95","work","positive",156,"flutterwave","Playstore"
"96","amazing","positive",137,"flutterwave","Playstore"
